paper_id,title,year,venue,citation_count,methodology_type,education_level,geographic_focus,sample_size,ai_type,main_finding_direction,effect_description,impact,inequity,ethics,inequity_evidence,cluster,cluster_label,abstract
SAMPLE_001,[AMOSTRA] Artificial Intelligence in Education: A Systematic Review,2023,Computers & Education,45,Not Specified,Not Specified,Not Specified,N/A,AI (Generic / Multiple),Mixed / Neutral,See abstract,True,True,True,Flagged in abstract (see full text),3,Carga Docente & Práticas Pedagógicas,"This paper examines the social impact of AI in educational settings, exploring equity, ethics and learning outcomes between 2020-2026."
D001,Generative AI and Equity in Higher Education: Empirical Evidence,2024,Computers & Education,87,Not Specified,Higher Education,Global South (general),N/A,ChatGPT / LLM (Generative AI),Negative,See abstract,True,True,True,This empirical study examines the impact of generative AI tools on equity of access in higher education institutions across the Global South.,4,Tutores Inteligentes & Engajamento,This empirical study examines the impact of generative AI tools on equity of access in higher education institutions across the Global South. We find significant disparities in student performance linked to digital infrastructure gaps. Ethics and bias in AI systems are discussed.
D002,LLMs as Tutors: Effects on Learning Outcomes in K-12,2023,Journal of Educational Technology,134,Qualitative,K-12 (Basic),Not Specified,N/A,ChatGPT / LLM (Generative AI),Mixed / Neutral,Results show positive outcomes for high-income schools; inequitable access remains a concern.,True,True,False,Results show positive outcomes for high-income schools; inequitable access remains a concern.,3,Carga Docente & Práticas Pedagógicas,Randomized controlled trial assessing the effect of large language model tutors on student achievement in K-12 mathematics. Results show positive outcomes for high-income schools; inequitable access remains a concern.
D003,AI Bias in Automated Essay Scoring: Ethical Implications,2022,Educational Measurement,211,Not Specified,Not Specified,Not Specified,12,Automated Assessment (AES),Negative,Empirical evidence from 12 universities reveals systematic discrimination against non-native English speakers.,True,False,True,Not reported,1,IA Generativa & Desempenho Acadêmico,We analyze bias and fairness in AI-driven automated essay scoring systems. Empirical evidence from 12 universities reveals systematic discrimination against non-native English speakers. Accountability frameworks are proposed.
D004,Teacher Workload and AI Integration: A Mixed-Methods Study,2024,Teaching and Teacher Education,56,Mixed Methods,Not Specified,Not Specified,N/A,Not Specified,Positive,23% reduction in administrative burden but in,True,False,True,Not reported,1,IA Generativa & Desempenho Acadêmico,This mixed-methods study investigates the impact of AI tools on teacher workload and pedagogical practices. Findings indicate a 23% reduction in administrative burden but increased anxiety around AI transparency and privacy.
D005,Intelligent Tutoring Systems and Student Engagement: Meta-Analysis,2021,Review of Educational Research,398,Quantitative,K-12 (Basic),Not Specified,45,ITS (Intelligent Tutoring),Mixed / Neutral,Effect size d=0,True,True,False,Equity concerns in rural contexts noted.,4,Tutores Inteligentes & Engajamento,Meta-analysis of 45 empirical studies on intelligent tutoring systems (ITS). Effect size d=0.42 for learning outcomes. Engagement and motivation improve significantly in elementary education. Equity concerns in rural contexts noted.
D006,AI and Digital Divide: Evidence from Sub-Saharan Africa,2023,International Journal of Educational Development,72,Not Specified,Not Specified,Sub-Saharan Africa,N/A,ITS (Intelligent Tutoring),Negative,See abstract,True,True,True,Inequality in device access and connectivity severely limits AI impact.,2,"Ética, Viés & Privacidade",Empirical investigation of AI adoption in education within Sub-Saharan Africa. Inequality in device access and connectivity severely limits AI impact. Ethical deployment frameworks for developing countries are discussed.
D007,ChatGPT in University Assessment: Student Performance and Academic Integrity,2024,Higher Education,189,Not Specified,Higher Education,Not Specified,N/A,ChatGPT / LLM (Generative AI),Mixed / Neutral,68% of students report improved outcomes,True,False,True,Not reported,4,Tutores Inteligentes & Engajamento,Study examining the effect of ChatGPT use on student performance and academic integrity in undergraduate courses. 68% of students report improved outcomes; significant ethics concerns around plagiarism and transparency are identified.
D008,Personalized Learning via AI Recommendation Systems: Empirical Trial,2022,Computers in Human Behavior,103,Quantitative,Not Specified,Not Specified,N/A,Recommendation System,Negative,Results show significant performance gains for students with learning disabilities.,True,False,True,Not reported,3,Carga Docente & Práticas Pedagógicas,Controlled experiment on AI-based content recommendation systems and their impact on personalized learning outcomes. Results show significant performance gains for students with learning disabilities. Privacy risks require attention.
D009,Algorithmic Discrimination in EdTech: Fairness and Equity Analysis,2023,ACM FAccT,145,Quantitative,Not Specified,Not Specified,N/A,AI (Generic / Multiple),Negative,See abstract,True,True,True,Evidence of inequitable outcomes for low-income students.,1,IA Generativa & Desempenho Acadêmico,Quantitative analysis of algorithmic bias and discrimination in educational technology platforms. Evidence of inequitable outcomes for low-income students. Proposes fairness metrics for AI systems in education contexts.
D010,Social Impact of AI in Brazilian Public Schools: A Case Study,2024,Educação & Sociedade,38,Qualitative,Not Specified,Brazil / South America,N/A,Not Specified,Negative,"Empirical findings show mixed impact on student achievement, with equity and access barriers in rural regions.",True,True,True,"Empirical findings show mixed impact on student achievement, with equity and access barriers in rural regions.",0,Equidade & Acesso (Sul Global),"Case study on AI adoption in Brazilian public schools. Empirical findings show mixed impact on student achievement, with equity and access barriers in rural regions. Teachers report ethical concerns about surveillance and data privacy."
D011,Generative AI Tools and Critical Thinking: Experimental Evidence,2024,Learning and Instruction,67,Quantitative,Not Specified,Not Specified,N/A,ChatGPT / LLM (Generative AI),Negative,Results indicate reduced analytical performance when AI is overused.,True,False,True,Not reported,2,"Ética, Viés & Privacidade",Experiment measuring the effect of generative AI on critical thinking skills. Results indicate reduced analytical performance when AI is overused. Pedagogical interventions and ethics education are recommended.
D012,AI-Powered Formative Assessment: Impact on Teacher Feedback Practices,2022,Assessment in Education,92,Not Specified,Not Specified,Not Specified,N/A,Not Specified,Mixed / Neutral,See abstract,True,False,True,Not reported,4,Tutores Inteligentes & Engajamento,Empirical study on AI-powered formative assessment tools and their impact on teacher feedback quality and student outcomes. Significant improvement in feedback turnaround; bias in multilingual assessment flagged.
